0,1,2
"tensor(21.0925, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.7680, device='cuda:0', grad_fn=<SelectBackward>)","tensor(260.1151, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.3874, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.3894, device='cuda:0', grad_fn=<SelectBackward>)","tensor(273.0970, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(28.9780, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.2491, device='cuda:0', grad_fn=<SelectBackward>)","tensor(316.6821, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(21.7658, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.8721, device='cuda:0', grad_fn=<SelectBackward>)","tensor(227.0062, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(28.2488, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.4132, device='cuda:0', grad_fn=<SelectBackward>)","tensor(260.9082, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.4515, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.2118, device='cuda:0', grad_fn=<SelectBackward>)","tensor(274.8162, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.8709, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.4084, device='cuda:0', grad_fn=<SelectBackward>)","tensor(265.1732, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(20.0308, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.5639, device='cuda:0', grad_fn=<SelectBackward>)","tensor(251.7945, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(19.6711, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.5535, device='cuda:0', grad_fn=<SelectBackward>)","tensor(203.7141, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.4595, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.1479, device='cuda:0', grad_fn=<SelectBackward>)","tensor(283.9032, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(18.6067, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.2911, device='cuda:0', grad_fn=<SelectBackward>)","tensor(243.0643, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.2762, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.1636, device='cuda:0', grad_fn=<SelectBackward>)","tensor(245.9399, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.6681, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.2990, device='cuda:0', grad_fn=<SelectBackward>)","tensor(333.0771, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.9476, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.3881, device='cuda:0', grad_fn=<SelectBackward>)","tensor(333.0368, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.4190, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.6932, device='cuda:0', grad_fn=<SelectBackward>)","tensor(219.0644, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(28.0415, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.0246, device='cuda:0', grad_fn=<SelectBackward>)","tensor(309.3014, device='cuda:0', grad_fn=<SelectBackward>)"
