0,1,2
"tensor(29.0606, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.5040, device='cuda:0', grad_fn=<SelectBackward>)","tensor(302.9030, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(26.2594, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.6815, device='cuda:0', grad_fn=<SelectBackward>)","tensor(265.0871, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.5478, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.2393, device='cuda:0', grad_fn=<SelectBackward>)","tensor(280.3727, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(28.2968, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.6225, device='cuda:0', grad_fn=<SelectBackward>)","tensor(364.5599, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(22.5425, device='cuda:0', grad_fn=<SelectBackward>)","tensor(6.6204, device='cuda:0', grad_fn=<SelectBackward>)","tensor(258.1732, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.1136, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.4320, device='cuda:0', grad_fn=<SelectBackward>)","tensor(276.7543, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(26.2158, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.9669, device='cuda:0', grad_fn=<SelectBackward>)","tensor(285.5833, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.7620, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.2767, device='cuda:0', grad_fn=<SelectBackward>)","tensor(279.1678, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(19.7193, device='cuda:0', grad_fn=<SelectBackward>)","tensor(6.4054, device='cuda:0', grad_fn=<SelectBackward>)","tensor(246.3941, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(27.0295, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.1223, device='cuda:0', grad_fn=<SelectBackward>)","tensor(329.5706, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(16.0289, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.6636, device='cuda:0', grad_fn=<SelectBackward>)","tensor(242.7103, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(19.9045, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.8594, device='cuda:0', grad_fn=<SelectBackward>)","tensor(236.3643, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(12.6997, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.9145, device='cuda:0', grad_fn=<SelectBackward>)","tensor(202.5291, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(13.8887, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.1745, device='cuda:0', grad_fn=<SelectBackward>)","tensor(219.1371, device='cuda:0', grad_fn=<SelectBackward>)"
